date,anomaly_mm,cluster_id,cluster_name
2019-02-01,143.7838709677419,3,Wet
2019-03-01,-60.98064516129031,1,Dry
2019-04-01,117.0451612903226,3,Wet
2019-05-01,52.66129032258064,2,Normal
2019-06-01,-70.25483870967741,0,Drought
2019-07-01,-25.141935483870952,1,Dry
2019-08-01,-9.177419354838719,1,Dry
2019-09-01,-5.525806451612908,1,Dry
2019-10-01,-84.44838709677418,0,Drought
2019-11-01,146.73225806451615,3,Wet
2019-12-01,65.17741935483866,2,Normal
2020-01-01,10.758064516129025,1,Dry
2020-02-01,10.683870967741939,1,Dry
2020-03-01,25.119354838709683,2,Normal
2020-04-01,-71.9548387096774,0,Drought
2020-05-01,-10.638709677419342,1,Dry
2020-06-01,80.04516129032257,2,Normal
2020-07-01,-154.84193548387094,0,Drought
2020-08-01,25.522580645161298,2,Normal
2020-09-01,47.7741935483871,2,Normal
2020-10-01,54.751612903225805,2,Normal
2020-11-01,-5.467741935483872,1,Dry
2020-12-01,21.37741935483865,2,Normal
2021-01-01,-60.541935483870986,1,Dry
2021-02-01,-140.91612903225808,0,Drought
2021-03-01,-37.98064516129031,1,Dry
2021-04-01,70.14516129032262,2,Normal
2021-05-01,-98.93870967741935,0,Drought
2021-06-01,-50.754838709677415,1,Dry
2021-07-01,122.75806451612908,3,Wet
2021-08-01,-6.0774193548387245,1,Dry
2021-09-01,-35.6258064516129,1,Dry
2021-10-01,148.4516129032258,3,Wet
2021-11-01,-39.067741935483866,1,Dry
2021-12-01,-103.82258064516134,0,Drought
2022-01-01,-46.341935483871,1,Dry
2022-02-01,-32.21612903225807,1,Dry
2022-03-01,-11.180645161290329,1,Dry
2022-04-01,-110.85483870967738,0,Drought
2022-05-01,7.461290322580652,1,Dry
2022-06-01,-14.35483870967741,1,Dry
2022-07-01,32.65806451612906,2,Normal
2022-08-01,91.12258064516126,2,Normal
2022-09-01,153.17419354838714,3,Wet
2022-10-01,100.65161290322578,3,Wet
2022-11-01,-75.86774193548388,0,Drought
2022-12-01,34.37741935483871,2,Normal
2023-01-01,26.258064516129025,2,Normal
2023-02-01,234.18387096774194,3,Wet
2023-03-01,146.01935483870966,3,Wet
2023-04-01,96.14516129032262,2,Normal
2023-05-01,136.56129032258067,3,Wet
2023-06-01,-31.554838709677426,1,Dry
2023-07-01,-46.14193548387095,1,Dry
2023-08-01,152.3225806451613,3,Wet
2023-09-01,-83.4258064516129,0,Drought
2023-10-01,61.551612903225816,2,Normal
2023-11-01,-68.46774193548387,0,Drought
2023-12-01,-150.62258064516132,0,Drought
2024-01-01,19.458064516129014,2,Normal
2024-02-01,46.68387096774194,2,Normal
2024-03-01,143.31935483870967,3,Wet
2024-04-01,23.44516129032263,2,Normal
2024-05-01,-178.93870967741935,0,Drought
2024-06-01,-35.45483870967743,1,Dry
2024-07-01,102.05806451612904,3,Wet
2024-08-01,-44.67741935483872,1,Dry
2024-09-01,236.9741935483871,3,Wet
2024-10-01,163.15161290322578,3,Wet
2024-11-01,-67.86774193548388,0,Drought
2024-12-01,-148.42258064516133,0,Drought
